category,place_id,place_name,comment_id,comment_user_id,comment_content,comment_point,comment_date,row_id
CE7,756993733,투썸플레이스 디지털미디어시티역점,10840268,2350725315,,2,2024.08.22.,756993733_1
CE7,756993733,투썸플레이스 디지털미디어시티역점,10517631,1650546034,접근이 편한 투썸,5,2024.07.09.,756993733_2
CE7,756993733,투썸플레이스 디지털미디어시티역점,10349082,3371210705,시간 때우려 방문했는데 너무 더워요.... 1층 로비랑 문없이 연결되어있던데 진짜 더워요 안쪽은 더더워요,3,2024.06.14.,756993733_3
CE7,972496863,메가MGC커피 수색자이점,9461669,1231775476,마감시간 되지도 않앗는데 눈치줘요ㅜ,1,2024.02.02.,972496863_1
CE7,972496863,메가MGC커피 수색자이점,9246847,1030013027,"아메리카노 먹을때은 몰랐는데, 정량을 안지키고 적게줘요..라떼류",1,2024.01.01.,972496863_2
CE7,972496863,메가MGC커피 수색자이점,9037915,1137837291,직원에따라 친절도가 상이함.,4,2023.11.27.,972496863_3
CE7,669253838,구움소리,11022347,2047496407,케이크시트 촉촉 크림은 안느끼하고 적당히 달다 왠지모르지만 조각케이크보다 홀케이크가 더 맛있다,5,2024.09.17.,669253838_1
CE7,669253838,구움소리,10872548,1226224146,여기 케익 진짜 맛도리임. 기분나쁜일 있을 때마다 가서 먹으면 기분 좋아짐. 오랴오래 해주세용 케잌 안 과일두 무르지않고 맛있음,5,2024.08.27.,669253838_2
CE7,669253838,구움소리,10552120,725668423,조오온맛탱 먹어본 케이크 중 손에 꼽게 맛있었어요. 매장에서 조각으로 먹은 망고케이크가 너무 맛있어서 홀케이크로 초코체리 먹었는데 둘 다 짱맛! 재료를 아끼지 않은 게 느껴져요,5,2024.07.15.,669253838_3
CE7,1936682405,카페모임 블루밍,10618411,2497678967,,5,2024.07.24.,1936682405_1
CE7,1936682405,카페모임 블루밍,6873751,742237192,"디저트 먹었는데 괜찮았어요
건물 꼭대기에 있는 게 단점",4,2023.01.18.,1936682405_2
CE7,1936682405,카페모임 블루밍,150179,795040019,분위기 최고,5,2018.06.15.,1936682405_3
CE7,217634437,메가MGC커피 디지털미디어시티역점,11018097,347682061,,5,2024.09.16.,217634437_1
CE7,217634437,메가MGC커피 디지털미디어시티역점,10944989,907348056,,4,2024.09.06.,217634437_2
CE7,1782849649,런이트,10776399,1882625620,어디 하나 빠짐없는 곳 이네요 덕분에 너무 좋은 시간 보내고 갑니다 ^^ 런이트 화이팅,5,2024.08.14.,1782849649_1
CE7,1782849649,런이트,10640029,2144285752,카공하려고 근처 카페 방문했는데 앞으로 더 자주 갈 것 같네요 크로플도 맛있고 분위기도 좋아요 자리도 꽤 많고 공부하기에 좋아요,5,2024.07.27.,1782849649_2
CE7,1782849649,런이트,10529635,1313082308,"크로플 맛집이잖아! 완전 럭키비키잖아!
아이스크림도 잔뜩 ! 많이 담아주셔서 좋았어요 !",5,2024.07.11.,1782849649_3
CE7,216873184,일디오커피 상암점,10547802,730229135,"드립커피 맛있어요ㅠㅠ 드립백만 파시던데 원두도 제발 팔아주세요ㅠㅠㅠㅠㅠ
직원분 친절하세요. 기분좋게 마시고 왔습니다",5,2024.07.14.,216873184_1
CE7,216873184,일디오커피 상암점,9212160,963603032,서비스 좋고 친절해요. 에티오피아 드립커피 네추럴 워시드 반반 블랜딩은 개인적으로 살짝 아쉽네요. 굳이 블랜딩을 하시는 이유가 있겠죠.,4,2023.12.26.,216873184_2
CE7,216873184,일디오커피 상암점,8973661,742237192,"커피 맛 괜찮습니다. 버터바 브라우니 등 디저트는 평범했습니다.
3층까지 있어서 공간이 여유있어서 좋네요. 주차가 안돼서 옆 공영주차장에 대야합니다.",4,2023.11.17.,216873184_3
CE7,1229506517,메이븐커피,10789664,1476269982,텀블러 가져가면 500원 할인.. 환경에 신경쓰는거 같아서 더 맛있네욤,5,2024.08.16.,1229506517_1
CE7,1229506517,메이븐커피,9405440,256564377,"손님응대를 제대로 안 하는 카페는
올 이유가 없다. ",2,2024.01.24.,1229506517_2
CE7,1229506517,메이븐커피,9211808,963603032,"친절하시고 에티오피아 필터커피 맛있네요, 가향을 자연스럽게 살짝 하신 것 같기도, 향이 훅 들어오네요.",5,2023.12.26.,1229506517_3
CE7,27278112,커피아람빈스 로스터리 카페 상암본점,9406410,256564377,"커피가 아니라
그냥 검은 물이다.
",2,2024.01.28.,27278112_1
CE7,27278112,커피아람빈스 로스터리 카페 상암본점,9166415,963603032,이 집 원두 좋고 에티오피아 네추럴 드립의 정석적인 맛이네요~👍,5,2023.12.26.,27278112_2
CE7,27278112,커피아람빈스 로스터리 카페 상암본점,8710765,1989830640,"사진 찍는 것도 깜빡하고 다 먹어버렸어요... 말렌카 너무 맛있어요
커피도 맛있어요ㅎㅎㅎ",5,2023.10.06.,27278112_3
CE7,165622336,더벤티 상암DMC역점,10002809,554210071,처음 갔을때 바닐라딥라떼 시키면서 너무 달까봐 연하게 시켰는데 밍밍하길래 다음날 갔을땐 그냥 원래대로 시켰는데 거기 있던 사장님인지 암튼 남자직원이 힐끗 보더니 음료 제조해서 줬는데 연하게 만든거랑 맛이 똑같음... 재료를 아끼는건지 어제 연하게 시킨 손님인걸 눈치채고 파우더를 덜 넣은건지 암튼 기분 별로였음... 손님와도 인사도 안하고 나중에 음료 받고 감사하다고 인사했는데도 대꾸없을때부터 눈치 깠어야했는데,1,2024.04.27.,165622336_1
CE7,165622336,더벤티 상암DMC역점,9436160,551396704,,5,2024.01.29.,165622336_2
CE7,165622336,더벤티 상암DMC역점,7899451,1404402143,,3,2023.06.18.,165622336_3
CE7,399513100,백억커피 상암점,10697762,1572475229,"위치상 자주가긴하는데 알바들이 얼많이탐 (메뉴 빼고줘서 말해야주는 등)
팝콘무료라써있지만 주기싫은지 말해야줌",1,2024.08.04.,399513100_1
CE7,399513100,백억커피 상암점,10498504,498410630,넓고 밝아서 좋아요~~~ 디카페인 메뉴도 다양,5,2024.07.06.,399513100_2
CE7,1616035896,매머드익스프레스 상암DMC점,9797613,1401615444,아저씨들 매장 앞에서 담배좀 그만펴요;; 술집 앞도 아니고 테이크아웃 카페 바로 앞에서 담배 무리지어 피는거 진짜 꼴보기 싫습니다. 매장 바로 앞에서 피는건 아니죠 이용하는 손님도 많은데.. 심지어 왔다갔다 하면서 핌. 혼자 갇힌 곳에서 피고 제발 혼자 죽으세요!!!!!!,5,2024.03.26.,1616035896_1
CE7,1616035896,매머드익스프레스 상암DMC점,7778567,323534147,가격대비,5,2023.06.20.,1616035896_2
CE7,1616035896,매머드익스프레스 상암DMC점,6549473,1925438903,여기는 사장이 문제; 손님이봐도 사장이 저래 할 줄 아는 것도 없고 답답한데 알바들은 오죽할까싶음 ,1,2022.11.14.,1616035896_3
CE7,1126697204,카페두다트 상암점,609677,256658828,,5,2017.06.17.,1126697204_1
CE7,1126697204,카페두다트 상암점,610638,718769344,,2,2016.06.16.,1126697204_2
CE7,1252470156,디저트카페 커피공원,10568629,2153596849,몇 달만에 2번째 방문인데... 사약인줄...  스벅보다도 세네. 원두문제가 아니고 그냥 다 태워서 쓴맛으로 먹게 하는게 추센가,2,2024.07.17.,1252470156_1
CE7,1252470156,디저트카페 커피공원,9773253,537832928,엄마가 선물 받아오신거 맛봤는데 세상에 너무 맛있어요 동네에 이런 휘낭시에 고수님이 계실줄 몰랐어요!!!! 모서리 빠짝하고 속은 사르륵 녹아요 흑 대박이에요 🥹 담에 가볼래요 ,5,2024.03.22.,1252470156_2
CE7,1252470156,디저트카페 커피공원,9172470,394979051,사장님 너무 친절하시고 디저트랑 커피 다 맛있어요!!!! 상암 갈 때마다 가야지,5,2023.12.20.,1252470156_3
CE7,2017984227,모리커피 상암DMC점,10918327,673590320,"커피 맛있고 , 직원 친절해옹",5,2024.09.02.,2017984227_1
CE7,2017984227,모리커피 상암DMC점,10918182,2633425943,계란빵이 넘 맛있어요! 그리고 직원분들이 항상 친절하세요💗,5,2024.09.02.,2017984227_2
CE7,2017984227,모리커피 상암DMC점,10753747,1334125929,초코프라페가 진짜 개맛있어요,5,2024.08.11.,2017984227_3
CE7,716500788,백호커피,10493861,299147483,,3,2024.07.06.,716500788_1
CE7,716500788,백호커피,7865790,891589374,수준 높은 커피를 내어주시는 카페👍,5,2023.06.14.,716500788_2
CE7,716500788,백호커피,6996074,705464409,오늘의 커피에서 꽃향기가 나고 포도맛이 났어요. 이런 커피는 오랜만이에요. 맛있어서 참숯로스팅 원두도 구입했어요.,5,2023.02.11.,716500788_3
CE7,71945418,카페프랑코,9217271,742237192,"사장님이 친절하셨습니다
테이크아웃하니 약과를 주시네요",4,2023.12.27.,71945418_1
CE7,71945418,카페프랑코,8235653,1622495233,분위기 좋고 음료도 맛있어요!,5,2023.08.04.,71945418_2
CE7,71945418,카페프랑코,8052856,1053734569,커피도 맛있었고 조용해서 좋았어요! 비오는 날에 방문했더니 양말 선물도 주셔서 감동이었습니다. 번창하세요 :),5,2023.07.11.,71945418_3
CE7,2002006277,듀이,10710808,752463392,,5,2024.08.06.,2002006277_1
CE7,2002006277,듀이,10227806,446839914,"맛있고 풍부한 크림과 시나몬, 루토스 크럼블이 인상적인 커피가 있는 곳",5,2024.05.30.,2002006277_2
CE7,2002006277,듀이,6868535,742237192,"그냥 평범한 거 같아요
강아지 출근 안 할 때도 있다고 하네요",3,2023.01.17.,2002006277_3
CE7,25575062,공간,5984646,267585383,,5,2022.08.05.,25575062_1
CE7,25575062,공간,5846148,498410630,애정이 넘치는 공간.,5,2022.07.14.,25575062_2
CE7,25575062,공간,5416703,1593056773,커피맛이 밍밍한데 커피맛은 둘째치고 주문받을때부터 끝까지 반말과 불친절함에 굉장히 불쾌했습니다. 다음부터는 현금만 해줄꺼야? 재방문 의사는 없어요.,1,2022.04.28.,25575062_3
CE7,117954068,마이쥬스 상암점,10600023,3615005733,,5,2024.07.22.,117954068_1
CE7,117954068,마이쥬스 상암점,6485420,2002750145,"여기는 진짜 라떼 맛집
그리구 주스도 다 신선하고 맛나요
친절, 맛  모두 완벽한곳!!!",5,2022.11.02.,117954068_2
CE7,117954068,마이쥬스 상암점,6480277,1462801901,과일음료랑 샐러드는 여기인것같아요,5,2022.11.01.,117954068_3
CE7,1690407986,캔하이브,4256702,384225526,,5,2021.09.08.,1690407986_1
CE7,1690407986,캔하이브,4067213,1615691940,맛있어요,5,2021.08.04.,1690407986_2
CE7,1690407986,캔하이브,2286354,738218219,캔에 커피를 담아주는 점이 특이해서 좋네요.,5,2020.09.01.,1690407986_3
CE7,1154894315,레프트커피로스터스,10455874,732685503,"점심때 자주 가는데 맛있는건 맞는데
직원분들이 좀 불친절해요
바쁜건 알겠는데 좀 친절하게 응대해주시면 좋을거같아요
커피 받았는데 왜 안나가는 식으로
커피 다 드리지 않았냐 하신것부터
주문 받을때도 너무 불친절.......",3,2024.06.30.,1154894315_1
CE7,1154894315,레프트커피로스터스,10338675,1020646868,"시그니처 라떼 최고입니다 ,,👍🏻👍🏻👍🏻
자꾸 생각나요ㅠㅠ 기본 아메리카노도 깔끔하고 맛나요🤤",5,2024.06.13.,1154894315_2
CE7,1154894315,레프트커피로스터스,10233807,1133921193,라떼슈페너 맛집,5,2024.05.31.,1154894315_3
CE7,2012755307,컴포즈커피 디지털미디어시티역점,10349143,524680215,테이크아웃해도 가격이 2500원 다른곳은 먹고가도 1500원인데요,1,2024.06.14.,2012755307_1
